	Almacen	Fecha	Factura	Cliente	Total venta	Margen de utilidad	Comensales	valor_unidatio
758	Mi llanerita	23/9/2024	68	Consumidor final	97500	90277	1	90277.7778
760	Mi llanerita	23/9/2024	67	Consumidor final	85500	79169	1	79166.6667
761	Mi llanerita	23/9/2024	66	Consumidor final	27500	25464	1	25462.963
762	Mi llanerita	23/9/2024	65	Consumidor final	50000	46297	1	46296.2963
763	Mi llanerita	23/9/2024	64	Consumidor final	23500	21760	1	21759.2593
764	Mi llanerita	23/9/2024	63	Consumidor final	61000	56482	1	56481.4815
765	Mi llanerita	23/9/2024	62	Consumidor final	221500	205164	1	205092.5926
766	Mi llanerita	23/9/2024	61	Consumidor final	47500	44100	1	43981.4815
767	Mi llanerita	23/9/2024	60	Consumidor final	78000	72223	1	72222.2222
769	Mi llanerita	23/9/2024	59	Consumidor final	27000	25000	1	25000.0
770	Mi llanerita	23/9/2024	58	Consumidor final	92000	85185	1	85185.1852
771	Mi llanerita	23/9/2024	57	Consumidor final	67200	62222	1	62222.2222
772	Mi llanerita	23/9/2024	56	Consumidor final	23500	21760	1	21759.2593
773	Mi llanerita	23/9/2024	55	Consumidor final	27800	25740	1	25740.7407
774	Mi llanerita	23/9/2024	54	Consumidor final	218000	201851	1	201851.8519
775	Mi llanerita	23/9/2024	53	Consumidor final	49200	45719	1	45555.5556
776	Mi llanerita	23/9/2024	52	Consumidor final	115900	107316	1	107314.8148
777	Mi llanerita	23/9/2024	51	Consumidor final	37800	34999	1	35000.0
778	Mi llanerita	23/9/2024	50	Consumidor final	49500	45951	1	45833.3333
779	Mi llanerita	23/9/2024	49	Consumidor final	50000	46297	1	46296.2963
780	Mi llanerita	23/9/2024	48	Consumidor final	112200	103934	1	103888.8889
783	Mi llanerita	23/9/2024	47	Consumidor final	32200	29816	1	29814.8148
784	Mi llanerita	23/9/2024	46	Consumidor final	40900	37872	1	37870.3704
788	Mi llanerita	23/9/2024	45	Consumidor final	13900	12870	1	12870.3704
789	Mi llanerita	23/9/2024	43	Consumidor final	62800	58225	1	58148.1481
790	Mi llanerita	23/9/2024	44	Consumidor final	62800	58225	1	58148.1481
791	Mi llanerita	23/9/2024	41	Consumidor final	62800	58225	1	58148.1481
792	Mi llanerita	23/9/2024	42	Consumidor final	62800	58225	1	58148.1481
793	Mi llanerita	23/9/2024	40	Consumidor final	62800	58225	1	58148.1481
794	Mi llanerita	23/9/2024	39	Consumidor final	62800	58225	1	58148.1481
795	Mi llanerita	23/9/2024	38	Consumidor final	57500	53241	1	53240.7407
796	Mi llanerita	23/9/2024	37	Consumidor final	40000	37037	1	37037.037
797	Mi llanerita	23/9/2024	36	Consumidor final	38000	35185	1	35185.1852
798	Mi llanerita	23/9/2024	35	Consumidor final	64900	60093	1	60092.5926
799	Mi llanerita	23/9/2024	34	Consumidor final	29800	27592	1	27592.5926
800	Mi llanerita	23/9/2024	33	Consumidor final	78900	73055	1	73055.5556
801	Mi llanerita	23/9/2024	32	Consumidor final	15500	14470	1	14351.8519
802	Mi llanerita	23/9/2024	31	Consumidor final	44000	40740	1	40740.7407
803	Mi llanerita	23/9/2024	30	Consumidor final	84000	77778	1	77777.7778
804	Mi llanerita	23/9/2024	29	Consumidor final	14500	13426	1	13425.9259
806	Mi llanerita	23/9/2024	28	Consumidor final	38000	35185	1	35185.1852
807	Mi llanerita	23/9/2024	27	Consumidor final	10000	9259	1	9259.2593
809	Mi llanerita	23/9/2024	113	Consumidor final	70000	64816	1	64814.8148
810	Mi llanerita	23/9/2024	26	Consumidor final	27800	25740	1	25740.7407
811	Mi llanerita	23/9/2024	25	Consumidor final	116700	108129	1	108055.5556
812	Mi llanerita	23/9/2024	24	Consumidor final	103400	95994	1	95740.7407
813	Mi llanerita	23/9/2024	112	Consumidor final	15500	14470	1	14351.8519
814	Mi llanerita	23/9/2024	23	Consumidor final	34000	31481	1	31481.4815
815	Mi llanerita	23/9/2024	22	Consumidor final	33300	30835	1	30833.3333
816	Mi llanerita	23/9/2024	21	Consumidor final	61100	57463	1	56574.0741
817	Mi llanerita	23/9/2024	20	Consumidor final	69000	63962	1	63888.8889
818	Mi llanerita	23/9/2024	19	Consumidor final	8500	7870	1	7870.3704
819	Mi llanerita	23/9/2024	18	Consumidor final	41500	38427	1	38425.9259
820	Mi llanerita	23/9/2024	17	Consumidor final	160000	148146	1	148148.1481
821	Mi llanerita	23/9/2024	111	Consumidor final	46200	42778	1	42777.7778
822	Mi llanerita	23/9/2024	16	NATURALES COSMETICOS ZOI	15900	14723	1	14722.2222
823	Mi llanerita	23/9/2024	15	Consumidor final	36800	34074	1	34074.0741
824	Mi llanerita	23/9/2024	14	Consumidor final	95600	84072,56	1	88518.5185
825	Mi llanerita	23/9/2024	13	Consumidor final	28600	26482	1	26481.4815
826	Mi llanerita	23/9/2024	12	Consumidor final	63600	58889	1	58888.8889
827	Mi llanerita	23/9/2024	11	Consumidor final	54800	50740	1	50740.7407
828	Mi llanerita	23/9/2024	10	Consumidor final	16700	15463	1	15462.963
829	Mi llanerita	23/9/2024	9	TRAMONTINA	31900	29647	1	29537.037
830	Mi llanerita	23/9/2024	8	Consumidor final	14900	13796	1	13796.2963
831	Mi llanerita	23/9/2024	7	Consumidor final	19900	18649	1	18425.9259
832	Mi llanerita	23/9/2024	5	Consumidor final	16500	15323	1	15277.7778
833	Mi llanerita	23/9/2024	4	Consumidor final	16500	15323	1	15277.7778
834	Mi llanerita	23/9/2024	110	Consumidor final	11900	11019	1	11018.5185
835	Mi llanerita	23/9/2024	109	Consumidor final	17700	16388	1	16388.8889
